ID,DATASET,POSITION,MEAN,VARIANCE
DATA_0000_POS_0000,0,0,0.499,
DATA_0000_POS_0001,0,1,0.4542,
DATA_0000_POS_0002,0,2,0.7851,
DATA_0000_POS_0003,0,3,0.3708,
DATA_0000_POS_0004,0,4,0.465,
DATA_0000_POS_0005,0,5,0.6643,
DATA_0000_POS_0006,0,6,0.7365,
DATA_0000_POS_0007,0,7,0.8947,
DATA_0000_POS_0008,0,8,0.8514,
DATA_0000_POS_0009,0,9,0.5736,
DATA_0000_POS_0010,0,10,0.893,
DATA_0000_POS_0011,0,11,0.8611,
DATA_0000_POS_0012,0,12,0.8304,
DATA_0000_POS_0013,0,13,0.8607,
DATA_0000_POS_0014,0,14,1.0578,
DATA_0000_POS_0015,0,15,0.5012,
DATA_0000_POS_0016,0,16,0.2073,
DATA_0000_POS_0017,0,17,0.0841,
DATA_0000_POS_0018,0,18,0.161,
DATA_0000_POS_0019,0,19,0.1812,
DATA_0000_POS_0020,0,20,0.6719,
DATA_0000_POS_0021,0,21,0.8212,
DATA_0000_POS_0022,0,22,0.9091,
DATA_0000_POS_0023,0,23,1.3001,
DATA_0000_POS_0024,0,24,0.2686,
DATA_0000_POS_0025,0,25,0.4307,
DATA_0000_POS_0026,0,26,0.3751,
DATA_0000_POS_0027,0,27,0.5624,
DATA_0000_POS_0028,0,28,0.5924,
DATA_0000_POS_0029,0,29,0.0631,
DATA_0000_POS_0030,0,30,0.7106,
DATA_0000_POS_0031,0,31,-0.046,
DATA_0000_POS_0032,0,32,0.2338,
DATA_0000_POS_0033,0,33,0.2835,
DATA_0000_POS_0034,0,34,0.2533,
DATA_0000_POS_0035,0,35,0.3321,
DATA_0000_POS_0036,0,36,0.4799,
DATA_0000_POS_0037,0,37,0.4942,
DATA_0000_POS_0038,0,38,0.4119,
DATA_0000_POS_0039,0,39,0.5693,
DATA_0000_POS_0040,0,40,0.2343,
DATA_0000_POS_0041,0,41,0.5723,
DATA_0000_POS_0042,0,42,0.6208,
DATA_0000_POS_0043,0,43,1.0542,
DATA_0000_POS_0044,0,44,0.3917,
DATA_0000_POS_0045,0,45,0.3183,
DATA_0000_POS_0046,0,46,0.1403,
DATA_0000_POS_0047,0,47,-0.4393,
DATA_0000_POS_0048,0,48,0.1697,
DATA_0000_POS_0049,0,49,0.1476,
DATA_0000_POS_0050,0,50,0.2727,
DATA_0000_POS_0051,0,51,0.3495,
DATA_0000_POS_0052,0,52,0.1883,
DATA_0000_POS_0053,0,53,0.5399,
DATA_0000_POS_0054,0,54,0.2679,
DATA_0000_POS_0055,0,55,0.3341,
DATA_0000_POS_0056,0,56,0.3299,
DATA_0000_POS_0057,0,57,1.0231,
DATA_0000_POS_0058,0,58,0.5967,
DATA_0000_POS_0059,0,59,1.2221,
DATA_0000_POS_0060,0,60,0.9781,
DATA_0000_POS_0061,0,61,0.5619,
DATA_0000_POS_0062,0,62,0.975,
DATA_0000_POS_0063,0,63,0.2766,
DATA_0000_POS_0064,0,64,-0.1331,
DATA_0000_POS_0065,0,65,-0.1685,
DATA_0000_POS_0066,0,66,0.0827,
DATA_0000_POS_0067,0,67,0.064,
DATA_0000_POS_0068,0,68,0.0171,
DATA_0000_POS_0069,0,69,0.2251,
DATA_0000_POS_0070,0,70,0.1379,
DATA_0000_POS_0071,0,71,0.4719,
DATA_0000_POS_0072,0,72,0.1959,
DATA_0000_POS_0073,0,73,0.1006,
DATA_0000_POS_0074,0,74,0.1593,
DATA_0000_POS_0075,0,75,0.0838,
DATA_0000_POS_0076,0,76,0.0262,
DATA_0000_POS_0077,0,77,0.2996,
DATA_0000_POS_0078,0,78,0.0408,
DATA_0000_POS_0079,0,79,0.4838,
DATA_0000_POS_0080,0,80,0.0853,
DATA_0000_POS_0081,0,81,0.0157,
DATA_0000_POS_0082,0,82,0.1199,
DATA_0000_POS_0083,0,83,0.0785,
DATA_0000_POS_0084,0,84,0.075,
DATA_0000_POS_0085,0,85,0.2701,
DATA_0000_POS_0086,0,86,0.2455,
DATA_0000_POS_0087,0,87,0.2093,
DATA_0000_POS_0088,0,88,0.2647,
DATA_0000_POS_0089,0,89,0.2338,
DATA_0000_POS_0090,0,90,0.2185,
DATA_0000_POS_0091,0,91,0.2706,
DATA_0000_POS_0092,0,92,0.3218,
DATA_0000_POS_0093,0,93,0.3736,
DATA_0000_POS_0094,0,94,0.396,
DATA_0000_POS_0095,0,95,0.535,
DATA_0000_POS_0096,0,96,0.2899,
DATA_0000_POS_0097,0,97,0.2997,
DATA_0000_POS_0098,0,98,0.2198,
DATA_0000_POS_0099,0,99,0.2639,
DATA_0000_POS_0100,0,100,0.2839,
DATA_0000_POS_0101,0,101,0.2899,
DATA_0000_POS_0102,0,102,0.2965,
DATA_0000_POS_0103,0,103,0.2787,
DATA_0000_POS_0104,0,104,0.2228,
DATA_0000_POS_0105,0,105,0.2581,
DATA_0000_POS_0106,0,106,0.2713,
DATA_0000_POS_0107,0,107,0.1927,
DATA_0000_POS_0108,0,108,0.2627,
DATA_0000_POS_0109,0,109,0.2808,
DATA_0000_POS_0110,0,110,0.3221,
DATA_0000_POS_0111,0,111,0.3769,
DATA_0000_POS_0112,0,112,0.139,
DATA_0000_POS_0113,0,113,0.1527,
DATA_0000_POS_0114,0,114,-0.0577,
DATA_0000_POS_0115,0,115,0.0806,
DATA_0000_POS_0116,0,116,0.2029,
DATA_0000_POS_0117,0,117,0.2335,
DATA_0000_POS_0118,0,118,0.1224,
DATA_0000_POS_0119,0,119,0.2068,
DATA_0000_POS_0120,0,120,0.0836,
DATA_0000_POS_0121,0,121,0.0754,
DATA_0000_POS_0122,0,122,0.1421,
DATA_0000_POS_0123,0,123,0.1154,
DATA_0000_POS_0124,0,124,0.0886,
DATA_0000_POS_0125,0,125,0.0298,
DATA_0000_POS_0126,0,126,0.2537,
DATA_0000_POS_0127,0,127,0.1664,
DATA_0000_POS_0128,0,128,-0.104,
DATA_0000_POS_0129,0,129,-0.0435,
DATA_0000_POS_0130,0,130,-0.5991,
DATA_0000_POS_0131,0,131,0.0593,
DATA_0000_POS_0132,0,132,0.2653,
DATA_0000_POS_0133,0,133,0.2277,
DATA_0000_POS_0134,0,134,0.2507,
DATA_0000_POS_0135,0,135,0.0724,
DATA_0000_POS_0136,0,136,-0.1414,
DATA_0000_POS_0137,0,137,0.204,
DATA_0000_POS_0138,0,138,-0.0046,
DATA_0000_POS_0139,0,139,-0.033,
DATA_0000_POS_0140,0,140,0.2669,
DATA_0000_POS_0141,0,141,0.068,
DATA_0000_POS_0142,0,142,-0.1309,
DATA_0000_POS_0143,0,143,0.2944,
DATA_0000_POS_0144,0,144,0.0643,
DATA_0000_POS_0145,0,145,0.3761,
DATA_0000_POS_0146,0,146,0.0289,
DATA_0000_POS_0147,0,147,0.1184,
DATA_0000_POS_0148,0,148,0.2471,
DATA_0000_POS_0149,0,149,0.3122,
DATA_0000_POS_0150,0,150,0.1793,
DATA_0000_POS_0151,0,151,0.221,
DATA_0000_POS_0152,0,152,0.0874,
DATA_0000_POS_0153,0,153,-0.0746,
DATA_0000_POS_0154,0,154,0.0999,
DATA_0000_POS_0155,0,155,0.0019,
DATA_0000_POS_0156,0,156,-0.0432,
DATA_0000_POS_0157,0,157,0.1064,
DATA_0000_POS_0158,0,158,-0.0028,
DATA_0000_POS_0159,0,159,0.156,
DATA_0000_POS_0160,0,160,0.147,
DATA_0000_POS_0161,0,161,-0.3069,
DATA_0000_POS_0162,0,162,-0.1018,
DATA_0000_POS_0163,0,163,-0.1537,
DATA_0000_POS_0164,0,164,-0.1807,
DATA_0000_POS_0165,0,165,-0.0349,
DATA_0000_POS_0166,0,166,-0.0831,
DATA_0000_POS_0167,0,167,-0.0258,
